	t	AveExpr	lods	logFC	CI.L	CI.R	adj.P.Val	P.Value
FOXA1	21.882901005971423	7.384310140250814	51.4955478085828	6.692660502753448	6.078600886684111	7.306720118822785	2.6970438044808976e-23	1.6198461288173558e-27
ESR1	17.091414281822793	7.77472694766512	41.060213053090735	7.265943994845232	6.41239062353364	8.119497366156825	8.6581480306143935e-19	1.0400177814551824e-22
MLPH	14.40212975031317	7.52815452505015	34.246334664424865	5.241417406104677	4.510718150971408	5.972116661237947	7.565685407181718e-16	1.438958140896966e-19
AGR3	14.320199164474534	5.137090887008272	33.19185690342135	9.808196394317154	8.433025308247359	11.183367480386949	7.565685407181718e-16	1.8175820798034157e-19
SLC44A4	13.87836192514522	6.040090961845306	32.638128831793956	6.3871057974910475	5.463083315013082	7.3111282799690125	1.98814199833164e-15	6.497391211391341e-19
SPDEF	13.84480573269802	6.512085663459234	32.63343353854775	5.564278126153029	4.757343037323551	6.371213214982507	1.98814199833164e-15	7.164475669663568e-19
XBP1	13.552607014520039	10.635078559984565	31.860520902437003	3.4549368263885487	2.943097203602786	3.9667764491743114	3.684609561464055e-15	1.6879781583486573e-18
CT62	13.518093765690187	0.06686343708769524	29.795956030876653	6.307616513360012	5.370774272527847	7.244458754192176	3.684609561464055e-15	1.8691069329033244e-18
SLC7A8	13.496612121626091	6.814869267111494	31.703993973353818	3.8156661550547004	3.2480402070916314	4.383292103017769	3.684609561464055e-15	1.9916808440346244e-18
CA12	12.75022566041997	8.211001208055531	29.503743745991926	5.049517252613685	4.254368052495619	5.844666452731752	3.125177820242709e-14	1.876983675821447e-17
GATA3	12.426634421080403	8.666112299890083	28.53089319882767	4.529706778232035	3.797838026087784	5.261575530376287	7.681860578132754e-14	5.07510308465227e-17
PRR15	12.394568947665931	4.267945612313637	28.280458474704318	4.9239496215854865	4.126324524603725	5.721574718567248	7.776833651409784e-14	5.604925154169213e-17
DNALI1	12.33046953268671	4.602811928249282	28.089201211112172	5.704934189443636	4.775994194255411	6.6338741846318605	8.758316316899914e-14	6.838325052234167e-17
SIDT1	12.26824335858729	4.688192887735952	27.958515175025923	4.6639172554223975	3.900635130682386	5.427199380162409	9.869871171660692e-14	8.298990774969952e-17
KCNJ11	12.187094342096106	3.7501557865029946	27.648653627966564	3.7587482421035894	3.1395072437474516	4.377989240459727	1.1866338471731848e-13	1.0690395019578241e-16
AGR2	12.156216859922912	7.648709649749107	27.646459921765683	7.26774783446256	6.067369775542836	8.468125893382284	1.2252600270183693e-13	1.1774270529906252e-16
TBC1D9	12.042020680612179	8.22118504318607	27.352396259894384	4.286561447554304	3.57185726739981	5.001265627708797	1.6499611886527493e-13	1.6846450574832877e-16
THSD4	11.902852113562783	6.510327593882896	26.914969460458135	4.438406711306238	3.6897328071863424	5.187080615426135	2.4167581007224736e-13	2.612711460240512e-16
FBP1	11.727754790006522	6.006824763338505	26.368252657265504	3.6622521546291567	3.035277473152278	4.289226836106035	3.99096549672496e-13	4.554254921187642e-16
GPR77	11.232134500876393	1.7184742666209085	24.28151842228716	4.701936116154702	3.8614489892174504	5.542423243091953	1.8670776506337694e-12	2.2427359166772005e-15
B3GNT5	-10.98590221361103	2.9821471584783112	23.884436822455676	-3.1554062798592426	-3.7320880113366046	-2.5787245483818806	3.972042104928386e-12	5.0097828350448115e-15
FOXC1	-10.887389894673387	3.4511781012777503	23.61625985802818	-3.996421041072707	-4.733415288688518	-3.2594267934568952	5.24067544701427e-12	6.924616206265102e-15
C6orf97	10.707859190456336	3.9751159257879984	23.046301706582355	4.734864727503244	3.847051601426508	5.62267785357998	9.07052505062781e-12	1.252985442429067e-14
CMBL	10.233062206364712	5.866801942632671	21.546034039861265	3.1983082661692044	2.570782816524266	3.825833715814143	4.25228312916106e-11	6.129417123115042e-14
ERBB4	10.065429861737046	4.223131547381955	20.92735807071152	6.650153046474383	5.323626484553625	7.976679608395141	7.197004173784831e-11	1.0806312573250498e-13
ACADSB	10.035856740983572	6.420317993243559	20.881898441733664	3.2536600455168916	2.602729939814973	3.90459015121881	7.650903335200714e-11	1.1947356559472587e-13
TTC36	9.982056637252114	0.054334491978985065	19.943703861614612	6.160711082523072	4.921550900397856	7.399871264648288	8.845952103513859e-11	1.434478719488734e-13
PSAT1	-9.901824370636286	1.8785546823973844	20.275983229489118	-5.020516412081146	-6.038521173775173	-4.0025116503871185	1.0921961846807208e-10	1.8854268167770855e-13
RND1	9.899209379723983	3.3998760798404506	20.393969748112266	3.775174133977532	3.0094838861117723	4.540864381843292	1.0921961846807208e-10	1.9023236850294837e-13
ZNF552	9.810123171492812	5.81361286578451	20.130744981001577	3.3036058925170138	2.627475576463911	3.9797362085701167	1.431477904464951e-10	2.5792394675044165e-13
TTLL4	-9.601026489510941	4.77632284470025	19.431358229125784	-2.115594945072612	-2.5580116226150755	-1.673178267530148	2.802006855000553e-10	5.288594051031492e-13
BCL11A	-9.595771551534469	1.0854828270145906	19.188970139128834	-4.776459711000186	-5.775867790346567	-3.7770516316538045	2.802006855000553e-10	5.385238400001063e-13
ROPN1	-9.53355556504882	-1.9342389792611472	18.38039382222138	-6.965065418138323	-8.431919571596248	-5.498211264680397	3.3675992744812044e-10	6.674521084557343e-13
GPR160	9.504526677279191	5.289009709279337	19.09812779643216	2.7883899258118516	2.1993568961845944	3.377422955439109	3.613360338436819e-10	7.378633724135245e-13
